char,x,y,group,cluster_db,filename,old_x,old_y
smt_4_Walter,51.75469,-11.057336,smt_4,0,smt_4_Walter.png,-13.410254,4.966327
smt_4_Jonathan,45.469933,-11.563563,smt_4,0,smt_4_Jonathan.jpg,-14.736567,4.1987357
smt_4_Isabeau,47.33524,-12.05818,smt_4,0,smt_4_Isabeau.jpg,-14.402788,5.203277
smt_4_Burroughs,-46.499405,-17.961792,smt_4,-1,smt_4_Burroughs.jpg,-13.625982,9.50405
smt_4_Task,-55.177658,-11.73587,smt_4,1,smt_4_Task.jpg,-14.006499,8.177359
smt_4_Akira,-28.237494,-6.821078,smt_4,2,smt_4_Akira.png,-10.112399,5.863572
smt_4_Hope,26.930431,-0.51693153,smt_4,15,smt_4_Hope.png,-14.314566,6.787994
smt_4_Demon,5.8149877,-20.101757,smt_4,3,smt_4_Demon.jpg,-10.830627,6.378198
smt_4_Tayama,-37.942226,10.766406,smt_4,4,smt_4_Tayama.png,-10.745389,5.0033374
smt_4_Merkabah,35.723427,-20.39061,smt_4,5,smt_4_Merkabah.png,-15.816371,5.9734073
ff_13_2_Serah,-30.525866,8.778326,ff_13_2,4,ff_13_2_Serah.png,16.593712,-18.076706
ff_13_2_Noel,-33.324417,6.2376823,ff_13_2,4,ff_13_2_Noel.png,17.508844,-17.918201
ff_13_2_Mog,-41.951332,27.85424,ff_13_2,6,ff_13_2_Mog.png,10.126394,-12.778842
ff_13_2_Hope,37.98494,12.242935,ff_13_2,7,ff_13_2_Hope.png,15.367071,-18.407194
ff_13_2_Lightning,44.723232,-20.996386,ff_13_2,5,ff_13_2_Lightning.png,16.645105,-20.035255
ff_13_2_Caius,34.02017,-18.403732,ff_13_2,5,ff_13_2_Caius.jpg,16.768856,-21.635124
ff_13_2_Snow,-30.738054,-6.0466075,ff_13_2,2,ff_13_2_Snow.png,17.21889,-16.616484
ff_13_2_Alyssa,-46.214104,-16.10462,ff_13_2,-1,ff_13_2_Alyssa.png,15.930459,-16.83618
ff_13_2_Yeul,30.291584,-22.921581,ff_13_2,8,ff_13_2_Yeul.jpg,15.856189,-20.629595
ff_13_2_Chocolina,8.682225,2.6163113,ff_13_2,9,ff_13_2_Chocolina.jpg,10.717364,-11.136778
ff_tactics_Ramza,17.742226,3.3436155,ff_tactics,9,ff_tactics_Ramza.png,-33.05558,4.223591
ff_tactics_Delita,40.892628,-34.050873,ff_tactics,8,ff_tactics_Delita.png,-32.86999,2.5161276
ff_tactics_Algus,-47.61687,29.41098,ff_tactics,6,ff_tactics_Algus.png,-31.807583,1.8918498
ff_tactics_Gafgarion,-54.908203,-6.882987,ff_tactics,1,ff_tactics_Gafgarion.png,-32.718487,0.95461816
ff_tactics_Dycedarg,-13.815883,-6.1854525,ff_tactics,11,ff_tactics_Dycedarg.png,-30.585852,1.27874
ff_tactics_Wiegraf,12.646853,-20.365355,ff_tactics,3,ff_tactics_Wiegraf.png,-31.756681,-0.84662706
ff_tactics_Vormav,5.3136525,-17.619627,ff_tactics,3,ff_tactics_Vormav.png,-30.81561,-0.052889798
ff_tactics_Agrias,-7.565394,5.4455385,ff_tactics,16,ff_tactics_Agrias.png,-34.126797,2.0797243
ff_tactics_Zalbag,9.882264,4.0139313,ff_tactics,9,ff_tactics_Zalbag.png,-31.840534,3.280263
ff_tactics_Olan,35.833374,11.329752,ff_tactics,7,ff_tactics_Olan.png,-30.633974,2.668725
ff_10_2_Yuna,34.16102,19.72158,ff_10_2,7,ff_10_2_Yuna.jpg,25.799152,25.359127
ff_10_2_Rikku,-27.531591,22.05636,ff_10_2,6,ff_10_2_Rikku.jpg,27.273891,24.6872
ff_10_2_Paine,20.655281,-37.43702,ff_10_2,-1,ff_10_2_Paine.jpg,25.904482,23.71612
ff_10_2_Rin,16.472376,18.231005,ff_10_2,10,ff_10_2_Rin.png,23.543943,25.380667
ff_10_2_Brother,-23.506378,11.146047,ff_10_2,11,ff_10_2_Brother.png,24.667852,23.740318
ff_10_2_Buddy,-16.38873,3.5289774,ff_10_2,11,ff_10_2_Buddy.jpeg,26.99513,23.682896
ff_10_2_Wakka,-38.631298,0.47505572,ff_10_2,4,ff_10_2_Wakka.jpg,29.870577,21.29601
ff_10_2_Leblanc,17.394802,25.118229,ff_10_2,10,ff_10_2_Leblanc.jpg,25.21704,21.80115
ff_10_2_Nooj,24.045708,-13.129706,ff_10_2,3,ff_10_2_Nooj.jpeg,26.013699,21.421396
ff_10_2_Gippal,-32.302174,-7.1284647,ff_10_2,2,ff_10_2_Gippal.jpeg,27.46366,22.163626
kh_2_Sora,-30.611027,-18.951248,kh_2,12,kh_2_Sora.jpg,17.186413,1.3795604
kh_2_Donald,-43.605293,32.196457,kh_2,6,kh_2_Donald.jpeg,16.373394,0.83466554
kh_2_Goofy,-47.218452,13.20376,kh_2,13,kh_2_Goofy.jpeg,15.087265,1.9924526
kh_2_Roxas,34.554474,22.50313,kh_2,7,kh_2_Roxas.jpg,19.26278,0.32537854
kh_2_Hayner,-15.828972,9.536112,kh_2,11,kh_2_Hayner.png,19.442207,-0.75426084
kh_2_Mickey,-49.44935,15.038423,kh_2,13,kh_2_Mickey.jpeg,14.18415,1.8836335
kh_2_Pete,7.7596707,-16.664318,kh_2,3,kh_2_Pete.png,14.081252,-0.7498955
kh_2_Jack Sparrow,16.058752,22.480059,kh_2,10,kh_2_Jack Sparrow.jpg,14.5725155,-7.0111513
kh_2_Tron,29.519459,4.769609,kh_2,15,kh_2_Tron.jpeg,18.03366,2.958874
kh_2_Pence,-7.8251667,-17.250734,kh_2,-1,kh_2_Pence.png,20.261536,-0.021393424
ff_09_Zidane,-35.606674,4.120343,ff_09,4,ff_09_Zidane.jpeg,0.3762128,-32.21131
ff_09_Dagger,26.662848,15.455411,ff_09,7,ff_09_Dagger.jpg,-1.024852,-30.044935
ff_09_Steiner,46.919914,-20.84315,ff_09,5,ff_09_Steiner.png,-4.0060077,-30.354975
ff_09_Eiko,-27.229576,24.85363,ff_09,6,ff_09_Eiko.jpg,1.0539708,-31.299938
ff_09_Vivi,-35.395203,29.853712,ff_09,6,ff_09_Vivi.jpeg,-0.19261332,-30.584715
ff_09_Freya,43.680935,-9.38467,ff_09,0,ff_09_Freya.jpg,-2.9311209,-29.642115
ff_09_Regent Cid,4.23678,19.861437,ff_09,14,ff_09_Regent Cid.png,-2.7792356,-28.683346
ff_09_Kuja,12.904321,-15.871922,ff_09,3,ff_09_Kuja.jpeg,0.32364658,-17.6926
ff_09_Quina,8.8966875,6.6413875,ff_09,9,ff_09_Quina.png,0.87145966,-28.385311
ff_09_Tot,35.41503,-28.612162,ff_09,8,ff_09_Tot.png,-3.4531493,-27.320295
ff_08_Squall,54.157124,-8.688913,ff_08,0,ff_08_Squall.jpg,-21.94664,25.00893
ff_08_Rinoa,-33.016525,23.817738,ff_08,6,ff_08_Rinoa.jpg,-21.719727,26.40271
ff_08_Zell,-38.918846,6.2887583,ff_08,4,ff_08_Zell.jpg,-20.762072,29.09983
ff_08_Quistis,21.976562,-36.452244,ff_08,-1,ff_08_Quistis.jpeg,-20.728485,25.779577
ff_08_Selphie,-37.164574,33.553802,ff_08,6,ff_08_Selphie.jpg,-20.025461,27.45395
ff_08_Laguna,6.4143467,-14.2068615,ff_08,3,ff_08_Laguna.jpg,-22.332218,29.05891
ff_08_Irvine,-44.906445,-8.524111,ff_08,4,ff_08_Irvine.jpeg,-21.487965,27.630188
ff_08_Headmaster Cid,28.931618,3.0020843,ff_08,15,ff_08_Headmaster Cid.jpg,-19.94978,24.539597
ff_08_Seifer,7.0015674,-22.519876,ff_08,3,ff_08_Seifer.jpg,-23.014668,27.115885
ff_08_Edea,31.248425,-25.273544,ff_08,8,ff_08_Edea.jpg,-19.282557,23.79193
ff_05_Bartz,-19.760632,-0.084655,ff_05,11,ff_05_Bartz.png,1.8079548,1.2086806
ff_05_Galuf,-50.002396,-2.4144208,ff_05,1,ff_05_Galuf.png,3.2009587,0.1459269
ff_05_Lenna,16.173939,3.9346795,ff_05,9,ff_05_Lenna.png,3.4168525,4.6067457
ff_05_Faris,48.918182,-20.871117,ff_05,5,ff_05_Faris.png,3.4621727,1.4200022
ff_05_Krile,-30.067568,28.185965,ff_05,6,ff_05_Krile.png,1.5193708,3.8959312
ff_05_Cid,40.011494,12.244818,ff_05,7,ff_05_Cid.png,3.7457757,2.9572084
ff_05_Mid,-37.488388,28.99007,ff_05,6,ff_05_Mid.png,1.5027902,3.0134428
ff_05_Exdeath,17.355913,-18.431658,ff_05,3,ff_05_Exdeath.jpg,2.4663513,-18.129866
ff_05_Ghido,15.490312,-12.516474,ff_05,3,ff_05_Ghido.jpg,5.5168977,2.0391326
ff_05_Gilgamesh,8.586645,-26.87477,ff_05,3,ff_05_Gilgamesh.png,4.445126,0.07864888
ff_04_Cecil,-5.974904,9.098907,ff_04,16,ff_04_Cecil.jpg,-6.879635,-6.9389806
ff_04_Kain,-55.263966,-8.645824,ff_04,1,ff_04_Kain.jpeg,-5.5519032,-7.3106985
ff_04_Rosa,-34.171116,27.10006,ff_04,6,ff_04_Rosa.jpeg,-2.8229332,-8.5488205
ff_04_Cid,-42.997707,-6.5501885,ff_04,4,ff_04_Cid.jpg,-2.6828303,-3.8144968
ff_04_Rydia,-33.06438,32.2386,ff_04,6,ff_04_Rydia.jpg,-2.9430764,-7.23824
ff_04_Yang,44.680065,-6.5047255,ff_04,0,ff_04_Yang.jpg,-5.568183,-6.466948
ff_04_Tellah,31.375216,-30.632696,ff_04,8,ff_04_Tellah.png,-5.7124786,-8.994321
ff_04_Edward,20.362785,15.894039,ff_04,10,ff_04_Edward.jpg,-3.739914,-8.062925
ff_04_Edge,-29.677002,1.57896,ff_04,4,ff_04_Edge.jpg,-2.1235008,-4.3300204
ff_04_Elder,21.035505,-17.313204,ff_04,3,ff_04_Elder.png,-7.1493073,-8.308786
ff_10_Tidus,-21.175951,5.564944,ff_10,11,ff_10_Tidus.jpeg,32.88387,20.277237
ff_10_Wakka,-33.17772,1.2878474,ff_10,4,ff_10_Wakka.jpg,31.693129,20.579065
ff_10_Yuna,31.408596,13.0316725,ff_10,7,ff_10_Yuna.png,34.81302,17.14473
ff_10_Auron,34.047276,-16.62202,ff_10,5,ff_10_Auron.jpeg,34.91265,18.582552
ff_10_Woman,-2.0907073,-6.5632257,ff_10,-1,ff_10_Woman.jpeg,32.01598,16.271217
ff_10_Lulu,38.174408,-31.124306,ff_10,8,ff_10_Lulu.png,33.92098,18.305603
ff_10_Rikku,-28.600847,20.730906,ff_10,6,ff_10_Rikku.jpg,32.639988,19.255959
ff_10_Crusader,-3.4850316,-7.759457,ff_10,-1,ff_10_Crusader.jpeg,31.454287,15.675288
ff_10_Jecht,-35.380928,-8.915732,ff_10,2,ff_10_Jecht.jpg,33.66561,21.295965
ff_10_Monk,39.270264,-5.2224483,ff_10,0,ff_10_Monk.jpg,33.404903,16.126017
ff_06_Locke,-18.372135,7.8323126,ff_06,11,ff_06_Locke.png,-3.9683392,-19.649668
ff_06_Edgar,-18.126532,-2.7374268,ff_06,11,ff_06_Edgar.png,-4.450869,-20.825186
ff_06_Kefka,11.968773,-17.468208,ff_06,3,ff_06_Kefka.png,0.32856768,-18.883623
ff_06_Terra,32.32925,14.286843,ff_06,7,ff_06_Terra.png,-1.4767917,-21.861086
ff_06_Sabin,-31.933212,-19.823366,ff_06,12,ff_06_Sabin.png,-3.8427494,-21.873175
ff_06_Celes,1.7745316,19.90577,ff_06,14,ff_06_Celes.png,-3.1344905,-20.850407
ff_06_Cyan,40.005505,-7.0731387,ff_06,0,ff_06_Cyan.png,-19.30884,-17.234016
ff_06_Gesthal,16.96412,-20.389618,ff_06,3,ff_06_Gesthal.png,-0.7560543,-19.677725
ff_06_Strago,-45.283287,15.514554,ff_06,13,ff_06_Strago.png,-3.8155024,-18.195906
ff_06_Setzer,-26.168232,-8.433729,ff_06,2,ff_06_Setzer.png,-2.6081982,-19.539055
ff_12_Balthier,-41.049034,-7.8926554,ff_12,4,ff_12_Balthier.png,-13.989507,-17.316456
ff_12_Vaan,-22.049921,3.9615152,ff_12,11,ff_12_Vaan.jpg,-11.147519,-18.169287
ff_12_Ashe,31.895674,-10.7055,ff_12,17,ff_12_Ashe.png,-16.805033,-14.5415
ff_12_Basch,29.634922,-9.787148,ff_12,17,ff_12_Basch.jpeg,-16.407488,-15.329219
ff_12_Penelo,-24.02672,2.7787747,ff_12,11,ff_12_Penelo.png,-11.770254,-17.969711
ff_12_Fran,28.784199,-27.157011,ff_12,8,ff_12_Fran.png,-15.106991,-16.593168
ff_12_Vayne,14.148836,21.922062,ff_12,10,ff_12_Vayne.png,-18.183947,-15.509684
ff_12_Larsa,40.282135,-1.9948498,ff_12,0,ff_12_Larsa.png,-17.058886,-16.567621
ff_12_Vossler,23.460182,-15.35843,ff_12,3,ff_12_Vossler.png,-15.286305,-14.507224
ff_12_Al Cid,-6.9543796,-15.800431,ff_12,-1,ff_12_Al Cid.png,-16.114218,-17.912773
ff_07_Cloud,55.627533,-7.6056952,ff_07,0,ff_07_Cloud.jpeg,3.7203624,20.357046
ff_07_Barret,-38.80043,8.312489,ff_07,4,ff_07_Barrett.jpg,1.353987,17.495705
ff_07_Tifa,13.508412,3.7214272,ff_07,9,ff_07_Tifa.jpg,4.506966,21.313005
ff_07_Aerith,27.191702,17.99519,ff_07,7,ff_07_Aerith.jpg,3.3490963,21.809792
ff_07_Cid,-42.98801,-3.1665323,ff_07,4,ff_07_Cid.jpg,1.0765289,18.400404
ff_07_Sephiroth,32.993637,-27.26184,ff_07,8,ff_07_Sephiroth.jpeg,2.021331,22.400558
ff_07_Cait Sith,-48.959423,8.298387,ff_07,13,ff_07_Cait Sith.png,2.48184,19.35271
ff_07_Bugenhagen,24.12549,-24.117659,ff_07,-1,ff_07_Bugenhagen.png,3.0470665,23.364416
ff_07_Red Xiii,26.172604,13.784086,ff_07,7,ff_07_Red Xiii.png,2.3006775,20.96108
ff_07_Yuffie,-44.79815,30.199068,ff_07,6,ff_07_Yuffie.png,3.2158182,18.143444
ff_02_Hilda,18.643675,16.516878,ff_02,10,ff_02_Hilda.gif,1.2942394,-8.9898405
ff_02_Gordon,34.008827,-8.323682,ff_02,17,ff_02_Gordon.jpg,1.1508338,-7.7059445
ff_02_Soldier,28.632608,-21.004683,ff_02,8,ff_02_Soldier.png,3.7931094,-7.641544
ff_02_Firion,-6.5382633,10.7260895,ff_02,16,ff_02_Firion.jpg,3.7968814,-9.007452
ff_02_Wizard,-32.75561,16.267794,ff_02,-1,ff_02_Wizard.jpg,5.4231157,-7.2494755
ff_02_Mindu,29.206917,-33.05823,ff_02,8,ff_02_Mindu.png,2.4753091,-7.6233687
ff_02_King,6.329489,19.797798,ff_02,14,ff_02_King.jpg,5.567055,-9.625063
ff_02_Pavel,-43.76423,1.3651061,ff_02,4,ff_02_Pavel.jpg,7.6629553,-4.4989824
ff_02_Josef,-21.993414,20.285225,ff_02,-1,ff_02_Josef.jpg,4.800117,-8.128171
ff_02_Leila,-33.99821,-0.3168786,ff_02,4,ff_02_Leila.jpeg,8.266419,-3.768051
kh_Sora,-28.31198,-16.652592,kh,12,kh_Sora.jpeg,16.286108,-3.0834653
kh_Riku,39.487648,-32.836777,kh,8,kh_Riku.jpg,14.500995,-4.638104
kh_Donald,-23.68502,8.8663645,kh,11,kh_Donald.png,14.09884,-3.360321
kh_Goofy,-47.252415,11.317462,kh,13,kh_Goofy.png,13.312826,-2.651213
kh_Kairi,34.763397,17.483843,kh,7,kh_Kairi.jpeg,16.122366,-5.1323085
kh_Leon,-17.160473,-5.0536532,kh,11,kh_Leon.png,13.136386,-4.568948
kh_Maleficent,39.863853,-21.931265,kh,5,kh_Maleficent.jpeg,11.98944,-5.7388377
kh_Cid,-43.593853,-0.84564555,kh,4,kh_Cid.png,11.155078,-2.473283
kh_Pooh,14.327479,13.711046,kh,10,kh_Pooh.png,18.065207,-4.5901766
kh_Philoctetes,-52.866352,-3.8935742,kh,1,kh_Philoctetes.png,8.681161,-2.165534
